,timestamps,tweets
153,2018-11-22 19:29:46,"The Target dog is dancing on my dogs blanket, trying to tell my dog “get up”, it’s Thanksgiving!  @target #target… https://t.co/0yyt43btEX"
154,2018-11-22 19:18:04,RT @MamaHolistica: #BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and save 30…
155,2018-11-22 19:15:29,"Mom: ""just put stuff in the @Target cart that you might want""
Me: *casually adds all game of thrones seasons, a duv… https://t.co/v7oMQque1i"
156,2018-11-22 19:15:03,RT @martybattaglia: Emma and myself carrying on the tradition; FIRST in line at Target. Hoping to capitalize on the Kleenex and red Solo cu…
157,2018-11-22 19:08:24,RT @Rewardsdotcom: Shop savvy! Get discounts &amp; amazing deals when you shop https://t.co/vNd3cz9OX9 as a member. Be the first to get notifie…
158,2018-11-22 19:02:12,Happy Thanksgiving from my family to all of yours! This year so thankful to work for a company that offers me the t… https://t.co/6Ct2Du1jwF
159,2018-11-22 18:57:31,Companies like Target &amp; Walmart talk about giving back to their communities. How about starting in your stores and… https://t.co/L2LZuYrcYU
160,2018-11-22 18:49:35,"#New in Pinterest: Amazing Workouts and Sports Tech: Hanna Oberg, Gymshark Athlete, working on her legs at the gym.… https://t.co/08BRg5F0CD"
161,2018-11-22 18:40:09,@GayestTiefling Please shout that louder to #Target and #Walmart
162,2018-11-22 18:14:49,"RT @kaylaautumnward: Thank you @Target for choosing to stand with the LGBTQ community and showing your love and support!
#target #lgbtq #Pr…"
163,2018-11-22 18:13:45,"RT @Rewardsdotcom: Find some of the hottest #BlackFriday #deals at top stores through https://t.co/vNd3cz9OX9 like #Kholes, #BestBuy, #Game…"
164,2018-11-22 18:11:50,"RT @MEarthprime: #TBS #WizardOfOz 5pm &amp; 7:15pm Central (#Thanksgiving)
Its that time of the years to sit down &amp; watch the #JudyGarland Wiza…"
165,2018-11-22 18:07:47,Why get UNREAL? 🤔 Because you're tired of paying too much for Unlimited data that you don't need! 🤯#BlackFriday… https://t.co/yLIyugUkeC
166,2018-11-22 18:00:03,"#Walmart, #Target and other large retailers are sending workers throughout their stores to check out customers with… https://t.co/zmoWPiFtAI"
167,2018-11-22 17:55:38,RT @martybattaglia: Emma and myself carrying on the tradition; FIRST in line at Target. Hoping to capitalize on the Kleenex and red Solo cu…
168,2018-11-22 17:53:53,@Target why do you let the stuff get taken out of your cart while your shopping for more??? You suck. #target… https://t.co/sNxCET5nsZ
169,2018-11-22 17:49:10,I was looking for family Jim jams on @Target for my lil family but look at the diversity yaaassss #Target https://t.co/WDZsZccfu1
170,2018-11-22 17:47:55,"Our #Coaching #Institute providing the #Top #Result by #Target #IIT #JEE - #PMT #Pvt #Ltd. 
Our #Top #Results… https://t.co/QMlXu9eCsU"
171,2018-11-22 17:32:57,#Target later on though
172,2018-11-22 17:30:18,"So I learned the hard way, last year that “#BlackThursday “ is a thing and it basically cleans out all the stores f… https://t.co/4bGG2wDXzZ"
173,2018-11-22 17:27:23,Can big box companies like #walmart  #target  #bestbuy actually not fo BLACK FRIDAY sales on THURSDAY. Like serious… https://t.co/MLtDSjexKX
174,2018-11-22 17:16:59,#BlackFriday Deal Alert!! #ad Get #StarlinkGame for Nintendo Switch for $39.99 (a savings of $35) at #Target and sa… https://t.co/uiOC1R4PKt
175,2018-11-22 17:16:58,RT @martybattaglia: Emma and myself carrying on the tradition; FIRST in line at Target. Hoping to capitalize on the Kleenex and red Solo cu…
176,2018-11-22 17:16:22,Emma and myself carrying on the tradition; FIRST in line at Target. Hoping to capitalize on the Kleenex and red Sol… https://t.co/G1Y8cpuXjW
177,2018-11-22 17:14:42,"RT @EthnicAssets: If you don't specify, identify your #target you will never hit The Sweet Spot.

#racism #classicism #sexism #metoo #times…"
178,2018-11-22 17:12:05,"RT @JaNetAdamsSpeak: Going live in about 20 mins! Going to share how to really #save #money on #BlackFriday! Don’t miss this! 
#deals #weal…"
179,2018-11-22 17:11:30,"Going live in about 20 mins! Going to share how to really #save #money on #BlackFriday! Don’t miss this! 
#deals… https://t.co/8Rm0R665CR"
180,2018-11-22 17:06:10,@OriginalFunko @Target OOOH! My little brother would ABSOLUTELY LOVE THIS! I 💚 #FUNKO AND I 💚 #TARGET! 🤞🏻
181,2018-11-22 17:02:44,"@target loving the @Snapchat filter, can’t wait to shop the holiday sales. #HappyThankgiving #Target https://t.co/afCe2kWNsA"
